Gene,Annotation,st258_freq,st23_freq
thiL_2,Thiamine-monophosphate kinase,0.0,0.8
dnaT_2,Primosomal protein 1,0.0,0.8
nitA,Aliphatic nitrilase,0.0,0.8
group_475,hypothetical protein,0.0,0.8
group_332,hypothetical protein,0.0,0.8
ptsJ_2,Vitamin B6 salvage pathway transcriptional repressor PtsJ,0.0,0.8
acs_2,Acetyl-coenzyme A synthetase,0.0,0.8
nikA_2,Nickel-binding protein NikA,0.0,0.8
group_152,hypothetical protein,0.0,0.8
group_149,hypothetical protein,0.0,0.8
